id,name,parent,variation,permalink,sku,short_description,description,on_sale,prices__currency_code,prices__currency_symbol,prices__currency_minor_unit,prices__currency_decimal_separator,prices__currency_thousand_separator,prices__currency_prefix,prices__currency_suffix,prices__price,prices__regular_price,prices__sale_price,prices__price_range,price_html,average_rating,review_count,images,variations,has_options,is_purchasable,is_in_stock,add_to_cart__text,add_to_cart__description
27301,Nimbus Champion,0,,https://naipes.winterland.cl/producto/nimbus-champion/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27302, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/NimbusChampion__90353.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/NimbusChampion__90353.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/NimbusChampion__90353.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/NimbusChampion__90353.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/NimbusChampion__90353.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'NimbusChampion__90353.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Nimbus Champion&rdquo; a tu carrito
27300,Switcheroo (foil),0,,https://naipes.winterland.cl/producto/switcheroo-foil/,,,,False,CLP,$,0,",",.,$,,400,400,400,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>400</span>",0,0,"[{'id': 27299, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'Switcheroo__00017.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Switcheroo (foil)&rdquo; a tu carrito
27298,Switcheroo,0,,https://naipes.winterland.cl/producto/switcheroo/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27299, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Switcheroo__00017.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'Switcheroo__00017.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Switcheroo&rdquo; a tu carrito
27296,Peregrine Drake,0,,https://naipes.winterland.cl/producto/peregrine-drake/,,,,False,CLP,$,0,",",.,$,,1800,1800,1800,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>1.800</span>",0,0,"[{'id': 27297, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/PeregrineDrake__45339.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/PeregrineDrake__45339.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/PeregrineDrake__45339.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/PeregrineDrake__45339.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/PeregrineDrake__45339.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'PeregrineDrake__45339.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Peregrine Drake&rdquo; a tu carrito
27294,Opportunity,0,,https://naipes.winterland.cl/producto/opportunity-2/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27295, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Opportunity__66209.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Opportunity__66209.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/Opportunity__66209.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Opportunity__66209.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/Opportunity__66209.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'Opportunity__66209.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Opportunity&rdquo; a tu carrito
27292,fog bank,0,,https://naipes.winterland.cl/producto/fog-bank-2/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27293, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/FogBank__91101.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/FogBank__91101.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/FogBank__91101.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/FogBank__91101.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/FogBank__91101.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'FogBank__91101.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;fog bank&rdquo; a tu carrito
27289,Reckless Scholar,0,,https://naipes.winterland.cl/producto/reckless-scholar/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27290, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/RecklessScholar__28356.1590612011.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/RecklessScholar__28356.1590612011.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/RecklessScholar__28356.1590612011.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/RecklessScholar__28356.1590612011.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/RecklessScholar__28356.1590612011.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'RecklessScholar__28356.1590612011.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Reckless Scholar&rdquo; a tu carrito
27286,Archmage Emeritus (Bundle &#8211; Foil),0,,https://naipes.winterland.cl/producto/archmage-emeritus-bundle-foil/,,,,False,CLP,$,0,",",.,$,,2100,2100,2100,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>2.100</span>",0,0,"[{'id': 27291, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus.jpg 672w, https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus-345x480.jpg 345w, https://naipes.winterland.cl/wp-content/uploads/2021/06/stx-377-archmage-emeritus-600x836.jpg 600w', 'sizes': '(max-width: 672px) 100vw, 672px', 'name': 'stx-377-archmage-emeritus', 'alt': ''}]",[],False,True,False,Leer más,Lee más sobre &ldquo;Archmage Emeritus (Bundle &#8211; Foil)&rdquo;
27287,Out of Bounds,0,,https://naipes.winterland.cl/producto/out-of-bounds/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27288, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OutOfBounds__79485.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OutOfBounds__79485.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OutOfBounds__79485.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/OutOfBounds__79485.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/OutOfBounds__79485.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'OutOfBounds__79485.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Out of Bounds&rdquo; a tu carrito
27284,Oracle&#8217;s Insight,0,,https://naipes.winterland.cl/producto/oracles-insight/,,,,False,CLP,$,0,",",.,$,,200,200,200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>200</span>",0,0,"[{'id': 27285, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OraclesInsight__58577.1590611974.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OraclesInsight__58577.1590611974.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/06/OraclesInsight__58577.1590611974.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/06/OraclesInsight__58577.1590611974.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/06/OraclesInsight__58577.1590611974.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'OraclesInsight__58577.1590611974.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Oracle&#8217;s Insight&rdquo; a tu carrito
